,Knowledge representation and reasoning_CKAI_01,Machine learning_CKAI_02,Deep learning_CKAI_03,Data mining_CKAI_04,Automated planning and scheduling_CKAI_05,Information retrieval_CKAI_06,Computer vision_CKAI_07,Affective computing_CKAI_08,Intelligent agent_CKAI_09,Machine perception_CKAI_10,Natural language processing_CKAI_11,Speech recognition_CKAI_12,Robotics_CKAI_13,Commonsense knowledge_CKAI_14,Computer science_CKAI_16,Master_Similarity
798,0.44,0.90,0.46,0.35,0.50,0.56,0.45,1.00,0.65,0.48,0.47,0.44,0.43,0.10,0.50,0.97
2204,0.92,0.93,0.82,0.73,0.71,0.58,0.56,0.86,1.00,0.45,0.83,0.83,0.33,0.10,0.60,0.96
3361,0.73,0.71,0.53,0.74,0.65,0.52,0.83,0.85,0.93,0.57,1.00,0.36,0.93,0.10,0.61,0.95
1545,0.47,1.00,0.82,0.54,0.52,0.63,0.45,0.92,0.62,0.94,0.71,0.24,0.81,0.10,0.43,0.95
1628,0.77,0.83,0.53,0.67,0.73,0.94,0.94,0.97,0.71,0.77,1.00,0.67,0.71,0.10,0.34,0.95
254,0.86,0.81,0.74,0.48,0.64,0.67,0.44,0.79,1.00,0.35,0.63,0.78,0.79,0.10,0.51,0.95
1126,0.92,0.75,0.95,0.68,0.56,0.54,0.79,1.00,0.76,0.67,0.69,0.61,0.31,0.10,0.63,0.95
33,0.62,0.81,0.52,0.27,0.67,0.57,0.35,1.00,0.59,0.53,0.44,0.66,0.55,0.10,0.53,0.95
1465,0.67,0.67,0.47,0.56,0.89,0.64,0.76,0.80,0.72,1.00,0.91,0.44,0.51,0.10,0.58,0.95
851,0.52,0.92,0.64,0.42,0.65,0.49,0.55,0.68,0.69,0.42,1.00,0.68,0.74,0.10,0.52,0.95
366,0.52,0.92,0.64,0.42,0.65,0.49,0.55,0.68,0.69,0.42,1.00,0.68,0.74,0.10,0.52,0.95
2223,0.43,0.73,0.56,0.50,0.68,0.62,0.60,1.00,0.68,0.71,0.38,0.22,0.58,0.46,0.10,0.95
1296,0.51,1.00,0.47,0.28,0.55,0.71,0.53,0.80,0.52,0.55,0.48,0.54,0.56,0.10,0.67,0.94
391,0.39,1.00,0.87,0.58,0.70,0.81,0.70,0.74,0.89,0.42,0.84,0.70,0.57,0.10,0.66,0.94
323,0.81,0.83,1.00,0.51,0.73,0.53,0.49,0.85,0.73,0.61,0.59,0.60,0.34,0.10,0.72,0.94
677,0.38,0.79,0.49,0.38,0.66,0.59,0.63,1.00,0.51,0.60,0.37,0.24,0.55,0.10,0.56,0.94
116,0.37,1.00,0.40,0.10,0.74,0.61,0.61,0.93,0.73,0.45,0.67,0.25,0.51,0.21,0.49,0.94
2193,0.56,0.96,0.47,0.40,0.52,0.58,1.00,0.69,0.60,0.36,0.53,0.70,0.56,0.10,0.22,0.94
1356,1.00,0.86,0.71,0.46,0.91,0.44,0.44,0.69,0.60,0.58,0.34,0.63,0.61,0.10,0.56,0.94
534,1.00,0.89,0.73,0.38,0.78,0.81,0.42,0.89,0.90,0.34,0.65,0.90,0.75,0.10,0.49,0.94
1312,0.73,0.75,0.37,0.24,0.56,0.51,0.61,0.64,0.70,0.75,1.00,0.10,0.59,0.15,0.41,0.94
1006,0.61,1.00,0.54,0.51,0.91,0.77,0.56,0.87,0.55,0.66,0.88,0.50,0.54,0.10,0.91,0.94
773,0.77,0.81,0.72,0.55,0.51,0.71,0.36,1.00,0.90,0.75,0.37,0.75,0.86,0.10,0.83,0.94
1174,0.57,0.95,0.53,0.48,0.61,0.54,0.53,1.00,0.38,0.64,0.38,0.80,0.49,0.10,0.62,0.94
3164,0.40,0.94,0.64,0.60,0.54,0.52,0.92,0.62,1.00,0.34,0.37,0.47,0.10,0.14,0.56,0.94
122,0.62,0.94,0.51,0.24,0.59,0.51,0.31,1.00,0.52,0.34,0.29,0.67,0.34,0.10,0.39,0.94
1717,0.85,0.92,1.00,0.79,0.72,0.77,0.73,0.75,0.76,0.88,0.63,0.70,0.90,0.10,0.95,0.94
1714,0.55,0.98,0.50,0.32,0.49,0.45,0.99,1.00,0.57,0.82,0.55,0.43,0.35,0.10,0.71,0.94
285,0.78,0.96,0.59,0.53,0.79,0.66,0.97,1.00,0.62,0.51,0.61,0.81,0.51,0.10,0.90,0.94
2244,0.81,0.67,0.88,0.51,0.76,0.66,0.61,0.60,0.73,1.00,0.66,0.74,0.49,0.10,0.42,0.93
104,0.59,0.84,0.75,0.45,0.96,0.71,0.92,0.89,0.94,0.98,0.81,1.00,0.36,0.10,0.73,0.93
425,0.80,0.90,0.70,0.49,0.48,0.41,0.95,0.53,1.00,0.10,0.68,0.47,0.55,0.27,0.45,0.93
1424,0.69,0.91,0.64,0.37,1.00,0.86,0.93,0.90,0.72,0.64,0.66,0.36,0.33,0.10,0.74,0.93
3008,0.85,0.90,0.45,0.10,0.77,0.91,0.64,0.90,1.00,0.46,0.88,0.64,0.29,0.11,0.45,0.93
651,0.88,0.82,0.41,0.15,0.54,0.58,0.35,0.89,1.00,0.43,0.28,0.44,0.24,0.10,0.63,0.93
1109,0.75,0.86,0.58,0.38,0.60,0.74,0.75,0.64,0.85,0.44,1.00,0.82,0.77,0.10,0.68,0.93
647,0.84,0.85,0.88,0.83,0.85,0.58,0.69,0.87,1.00,0.10,0.87,0.83,0.76,0.33,0.73,0.93
934,0.70,0.88,0.69,0.73,0.50,0.64,0.95,0.99,0.69,0.83,0.97,0.58,0.93,0.10,1.00,0.93
2415,0.80,0.96,1.00,0.71,0.68,0.69,0.67,0.61,0.83,0.71,0.90,0.95,0.95,0.10,0.82,0.93
912,0.67,0.86,0.51,0.35,0.47,0.53,0.39,1.00,0.50,0.28,0.37,0.58,0.49,0.10,0.70,0.93
1323,0.67,0.88,0.76,0.63,0.47,0.74,0.86,0.74,0.63,0.57,0.77,0.48,1.00,0.10,0.70,0.93
1857,0.52,0.84,0.50,0.38,0.69,0.68,0.59,1.00,0.36,0.55,0.52,0.44,0.66,0.10,0.64,0.93
1699,0.57,0.70,0.50,0.44,0.50,0.67,0.64,0.83,0.63,0.56,0.52,1.00,0.40,0.10,0.46,0.93
3363,0.72,1.00,0.75,0.56,0.43,0.64,0.98,0.95,0.64,0.55,0.94,0.57,0.82,0.10,0.91,0.93
765,0.84,0.79,0.81,0.38,0.96,0.77,0.53,0.65,1.00,0.86,0.67,0.25,0.31,0.10,0.78,0.93
2349,0.73,0.78,0.56,0.48,0.51,0.59,0.73,0.64,0.72,0.50,1.00,0.74,0.16,0.10,0.60,0.93
2150,0.43,1.00,0.28,0.26,0.52,0.38,0.18,0.74,0.45,0.35,0.40,0.10,0.54,0.23,0.58,0.93
2405,0.74,1.00,0.40,0.55,0.53,0.54,0.47,0.63,0.58,0.34,0.54,0.68,0.10,0.29,0.77,0.93
1292,0.75,0.99,0.57,0.80,0.75,0.73,0.73,0.81,0.57,0.51,0.95,0.74,0.84,0.10,1.00,0.93
1490,0.52,0.57,0.63,0.50,0.85,0.86,0.74,1.00,0.69,0.67,0.71,0.79,0.53,0.10,0.38,0.93
175,0.73,1.00,0.64,0.38,0.39,0.47,0.10,0.94,0.55,0.34,0.68,0.78,0.47,0.17,0.51,0.93
594,0.28,0.93,1.00,0.44,0.55,0.46,0.39,0.57,0.85,0.67,0.65,0.59,0.63,0.10,0.64,0.93
571,0.96,0.73,0.61,0.37,0.77,0.74,0.19,0.75,1.00,0.56,0.77,0.46,0.65,0.10,0.84,0.93
889,0.68,1.00,0.95,0.73,0.49,0.60,0.66,0.88,0.54,0.56,0.63,0.77,0.83,0.10,0.87,0.93
65,0.24,0.86,0.65,0.24,0.65,0.50,0.41,1.00,0.66,0.30,0.41,0.39,0.46,0.10,0.59,0.93
1313,0.80,0.81,0.75,0.82,0.56,0.55,0.92,0.52,0.82,0.55,1.00,0.66,0.57,0.10,0.89,0.93
2308,0.88,0.79,0.55,0.84,0.76,0.29,1.00,0.57,0.78,0.78,0.74,0.54,0.10,0.35,0.70,0.93
661,0.88,0.65,0.59,0.48,0.88,1.00,0.59,0.72,0.74,0.44,0.52,0.65,0.55,0.10,0.41,0.93
3056,0.73,0.90,0.37,0.42,0.60,0.39,0.48,0.59,0.81,0.57,0.62,0.23,0.20,0.10,1.00,0.93
964,0.60,1.00,0.73,0.51,0.28,0.26,0.47,0.51,0.47,0.41,0.33,0.58,0.65,0.10,0.59,0.93
215,1.00,0.82,0.91,0.42,0.69,0.61,0.78,0.76,0.92,0.49,0.98,0.97,0.54,0.10,0.70,0.93
1273,0.78,0.62,0.80,0.63,0.80,0.50,0.59,0.70,1.00,0.36,0.80,0.49,0.95,0.10,0.79,0.93
171,0.28,1.00,0.38,0.35,0.16,0.10,0.60,0.46,0.45,0.39,0.44,0.26,0.34,0.15,0.47,0.93
3280,1.00,0.81,0.40,0.39,0.65,0.68,0.10,0.82,0.79,0.50,0.52,0.55,0.18,0.11,0.69,0.93
146,0.67,0.81,0.72,0.54,0.86,0.59,0.50,1.00,0.54,0.61,0.58,0.10,0.76,0.40,0.76,0.93
1690,0.70,0.83,0.95,0.48,0.77,0.76,0.40,0.98,0.66,0.67,0.60,0.54,1.00,0.10,0.73,0.93
2618,0.87,0.90,0.52,0.51,1.00,0.87,0.67,0.86,0.43,0.81,0.88,0.78,0.60,0.10,0.70,0.93
237,0.60,1.00,0.57,0.10,0.56,0.58,0.40,0.80,0.45,0.43,0.61,0.37,0.69,0.18,0.60,0.93
286,0.55,0.77,0.70,0.58,0.56,0.70,1.00,0.96,0.58,0.97,0.64,0.67,0.71,0.10,0.77,0.93
1564,0.73,1.00,0.35,0.23,0.73,0.85,0.48,0.87,0.79,0.54,0.37,0.73,0.10,0.23,0.61,0.93
2997,0.70,0.74,0.82,0.52,0.59,0.47,0.55,0.62,0.59,0.66,0.68,0.31,1.00,0.10,0.66,0.93
799,0.61,0.77,0.70,0.57,0.84,0.92,0.39,1.00,0.52,0.95,0.42,0.62,0.65,0.10,0.60,0.93
687,0.33,0.58,0.53,0.36,0.64,0.61,0.63,1.00,0.59,0.62,0.31,0.14,0.50,0.27,0.10,0.93
2397,0.58,1.00,0.53,0.25,0.74,0.52,0.34,0.83,0.43,0.57,0.74,0.53,0.75,0.10,0.78,0.93
307,0.69,0.74,0.75,0.50,0.37,0.32,0.59,0.41,1.00,0.14,0.66,0.63,0.65,0.10,0.39,0.93
439,0.58,0.98,0.47,0.29,0.44,0.37,0.52,0.99,0.57,0.70,0.56,0.43,0.47,0.10,1.00,0.93
557,0.54,0.89,1.00,0.55,0.67,0.61,0.32,0.82,0.76,0.49,0.67,0.84,0.83,0.10,0.74,0.93
2222,0.78,0.72,0.45,0.49,0.61,0.64,0.60,0.62,0.60,0.44,0.62,1.00,0.24,0.10,0.34,0.93
2701,0.57,0.80,0.48,0.27,0.82,0.94,0.72,1.00,0.54,0.99,0.61,0.44,0.58,0.10,0.48,0.93
1950,0.69,0.48,0.44,0.78,0.66,0.63,0.37,0.79,0.70,0.62,0.64,1.00,0.45,0.10,0.15,0.93
3391,0.63,0.68,0.72,0.79,0.59,0.74,0.50,0.71,0.65,1.00,0.38,0.94,0.64,0.10,0.44,0.93
115,0.50,0.66,0.59,0.37,0.43,0.36,0.31,1.00,0.46,0.32,0.26,0.47,0.28,0.10,0.55,0.93
1415,0.90,1.00,0.96,0.43,0.50,0.45,0.50,0.88,0.88,0.10,0.67,0.65,0.91,0.32,0.55,0.93
1715,0.94,0.90,0.32,0.24,0.53,0.74,0.54,1.00,0.70,0.52,0.45,0.90,0.54,0.10,0.70,0.93
482,0.89,0.79,0.83,0.85,0.68,0.22,1.00,0.86,0.93,0.10,0.52,0.72,0.60,0.25,0.56,0.92
2550,0.40,1.00,0.33,0.13,0.47,0.55,0.62,0.94,0.88,0.71,0.10,0.27,0.29,0.37,0.48,0.92
1595,0.83,0.86,0.37,0.29,0.83,0.99,0.52,0.90,0.69,1.00,0.57,0.80,0.61,0.10,0.69,0.92
552,0.71,0.88,0.66,0.52,0.60,0.70,0.81,0.75,0.50,0.72,0.82,0.53,1.00,0.10,0.82,0.92
546,0.97,0.83,0.50,0.25,0.51,0.72,0.44,1.00,0.69,0.50,0.78,0.84,0.32,0.10,0.70,0.92
1499,0.54,0.67,0.65,0.59,0.61,0.66,0.93,0.83,0.63,1.00,0.51,0.69,0.54,0.10,0.77,0.92
815,0.44,0.55,0.32,0.19,0.46,0.44,0.39,1.00,0.48,0.38,0.34,0.39,0.30,0.10,0.52,0.92
1014,0.60,0.71,0.80,0.50,0.80,1.00,0.61,0.77,0.74,0.71,0.66,0.86,0.83,0.10,0.55,0.92
1357,0.64,0.96,0.59,0.28,0.35,0.35,0.37,1.00,0.55,0.19,0.45,0.34,0.32,0.10,0.71,0.92
378,0.39,0.85,0.75,0.42,0.89,0.91,0.64,1.00,0.84,0.19,0.40,0.36,0.45,0.10,0.39,0.92
1116,0.67,1.00,0.81,0.39,0.94,0.81,0.28,0.77,0.67,0.65,0.42,0.83,0.65,0.10,0.74,0.92
1655,0.62,0.85,0.84,0.50,0.51,0.49,0.69,1.00,0.82,0.33,0.45,0.41,0.86,0.10,0.94,0.92
581,0.80,0.72,0.81,0.53,0.80,0.88,0.66,0.68,0.76,1.00,0.59,0.92,0.64,0.10,0.71,0.92
1899,0.39,0.55,0.70,0.29,0.67,0.67,0.43,1.00,0.76,0.25,0.53,0.44,0.54,0.10,0.37,0.92
401,0.63,1.00,0.46,0.36,0.29,0.42,0.28,0.71,0.37,0.17,0.67,0.65,0.46,0.10,0.47,0.92
1040,0.62,1.00,0.82,0.62,0.66,0.77,0.97,0.79,0.43,0.71,0.95,0.78,0.73,0.10,0.74,0.92
2127,0.40,0.70,0.15,0.28,0.51,0.60,0.53,1.00,0.40,0.57,0.56,0.53,0.24,0.10,0.49,0.92
1077,0.46,0.78,0.82,0.53,0.71,0.72,0.39,0.77,0.71,0.66,0.83,0.58,1.00,0.10,0.78,0.92
2277,1.00,0.95,0.80,0.71,0.61,0.55,0.74,0.80,0.60,0.10,0.67,0.66,0.69,0.19,0.79,0.92
688,0.79,0.70,0.63,0.79,0.44,0.41,0.81,0.42,0.77,0.47,1.00,0.61,0.50,0.10,0.73,0.92
3358,0.65,0.96,0.63,0.63,0.61,0.43,0.73,1.00,0.66,0.10,0.46,0.42,0.66,0.45,0.84,0.92
2585,0.40,0.99,0.36,0.10,0.51,0.57,0.65,0.97,1.00,0.74,0.13,0.33,0.29,0.40,0.49,0.92
2604,0.58,0.77,0.50,0.26,0.84,1.00,0.76,0.96,0.59,0.99,0.66,0.48,0.60,0.10,0.45,0.92
828,0.42,0.70,0.51,0.11,0.55,0.37,0.49,1.00,0.65,0.41,0.39,0.10,0.48,0.29,0.57,0.92
802,0.66,1.00,0.95,0.60,0.45,0.39,0.71,0.53,0.56,0.58,0.57,0.57,0.94,0.10,0.70,0.92
1240,0.44,0.71,0.63,0.54,0.77,1.00,0.56,0.76,0.62,0.69,0.28,0.56,0.52,0.10,0.55,0.92
222,0.63,0.57,0.66,0.43,0.92,0.92,0.62,1.00,0.68,0.61,0.33,0.61,0.51,0.10,0.43,0.92
521,0.86,1.00,0.57,0.36,0.42,0.37,0.48,0.73,0.33,0.76,0.35,0.49,0.50,0.10,0.76,0.92
1038,0.81,1.00,0.65,0.34,0.65,0.67,0.91,0.82,0.59,0.37,0.32,0.81,0.56,0.10,0.69,0.92
3355,0.63,0.65,0.83,0.44,0.79,0.82,0.34,0.90,0.74,1.00,0.62,0.71,0.80,0.10,0.67,0.92
2163,0.42,0.62,0.43,0.27,0.54,0.49,0.71,1.00,0.67,0.60,0.44,0.18,0.34,0.10,0.75,0.92
2024,0.78,0.99,0.63,0.73,0.67,0.57,0.63,0.73,0.49,0.47,0.97,0.55,0.91,0.10,1.00,0.92
2414,0.89,1.00,0.83,0.65,0.48,0.16,0.68,0.72,0.78,0.50,0.91,0.10,0.93,0.51,0.75,0.92
635,0.69,0.57,0.87,0.93,0.89,0.86,1.00,1.00,0.89,0.90,0.89,0.73,0.78,0.10,0.99,0.92
1793,0.45,0.60,0.33,0.32,0.53,0.67,0.49,1.00,0.34,0.72,0.45,0.48,0.47,0.10,0.44,0.92
2009,0.60,1.00,0.53,0.43,0.51,0.47,0.10,0.72,0.52,0.19,0.47,0.77,0.63,0.24,0.55,0.92
3325,1.00,0.72,0.50,0.20,0.81,0.66,0.57,0.80,0.90,0.57,0.83,0.83,0.49,0.10,0.83,0.92
846,0.42,0.68,0.65,0.20,0.60,0.40,0.76,1.00,0.88,0.48,0.44,0.10,0.51,0.34,0.63,0.92
3319,0.85,0.40,0.74,0.44,0.50,0.46,0.35,0.68,1.00,0.78,0.54,0.63,0.19,0.10,0.50,0.92
192,0.50,1.00,0.88,0.46,0.77,0.67,0.77,0.70,0.99,0.52,0.28,0.10,0.32,0.45,0.76,0.92
1138,0.52,0.46,0.71,0.71,0.76,0.68,1.00,0.84,0.88,0.64,1.00,0.51,0.58,0.10,0.72,0.92
3090,0.44,0.95,0.56,0.29,0.74,0.70,0.67,1.00,0.50,0.47,0.72,0.10,0.67,0.43,0.62,0.92
2174,0.85,0.74,0.54,0.30,0.90,0.92,0.33,0.93,1.00,0.81,0.53,0.10,0.32,0.21,0.74,0.92
2657,0.59,0.31,0.44,0.42,0.51,0.25,0.53,0.48,1.00,0.32,0.76,0.48,0.40,0.10,0.21,0.92
1513,0.25,0.65,0.41,0.29,0.52,0.49,0.56,1.00,0.43,0.46,0.39,0.10,0.33,0.12,0.49,0.92
1555,0.85,0.78,0.67,0.58,0.66,0.29,0.58,1.00,0.98,0.10,0.99,0.94,0.43,0.35,0.68,0.92
137,0.75,0.73,0.48,0.39,0.56,0.66,0.67,1.00,0.68,0.25,0.55,1.00,0.37,0.10,0.49,0.92
325,1.00,0.97,0.63,0.72,0.53,0.69,0.79,0.70,0.76,0.10,0.89,0.67,0.76,0.45,0.78,0.92
3157,0.76,1.00,0.10,0.46,0.56,0.80,0.51,0.71,0.70,0.54,0.83,0.60,0.33,0.53,0.83,0.92
465,0.55,0.64,0.55,0.70,0.85,0.97,1.00,0.53,0.81,0.87,0.62,0.74,0.47,0.10,0.41,0.92
1661,0.54,0.95,0.53,0.43,0.69,0.83,0.93,1.00,0.74,0.10,0.73,0.31,0.62,0.39,0.66,0.92
1735,0.84,0.89,1.00,0.55,0.41,0.39,0.42,0.82,0.56,0.52,0.60,0.93,0.86,0.10,0.48,0.92
3393,0.95,1.00,0.10,0.27,0.59,0.63,0.37,0.80,0.76,0.54,0.42,0.38,0.23,0.42,0.80,0.92
1563,0.35,0.96,0.88,0.19,0.93,0.75,1.00,0.72,0.87,0.55,0.89,0.41,0.59,0.10,0.46,0.92
1310,0.87,1.00,0.57,0.30,0.66,0.65,0.68,0.90,0.70,0.12,0.38,0.78,0.33,0.10,0.69,0.92
782,0.86,0.89,0.77,0.49,0.66,0.64,0.82,0.51,0.69,0.85,0.73,1.00,0.70,0.10,0.83,0.92
3099,0.75,0.46,0.78,0.41,0.43,0.18,0.72,0.89,1.00,0.30,0.29,0.37,0.44,0.10,0.31,0.92
1615,0.56,0.49,1.00,0.38,0.65,0.67,0.49,0.57,0.97,0.61,0.54,0.48,0.63,0.10,0.34,0.92
1852,0.39,0.65,0.33,0.39,0.42,0.65,0.94,1.00,0.66,0.58,0.57,0.43,0.21,0.40,0.10,0.92
271,0.82,0.80,0.57,0.32,0.46,0.56,0.50,0.51,0.64,0.63,0.45,1.00,0.73,0.10,0.41,0.92
565,0.49,1.00,0.89,0.46,0.78,0.57,0.67,0.64,0.96,0.60,0.24,0.10,0.40,0.48,0.77,0.92
134,0.59,0.59,1.00,0.49,0.79,0.65,0.39,0.64,0.71,0.61,0.40,0.43,0.64,0.10,0.58,0.92
2734,0.68,0.86,0.84,0.34,0.72,0.65,0.45,1.00,0.79,0.67,0.11,0.70,0.10,0.14,0.53,0.92
